Region Code,Region,Name,Type,Address,CAP,City,State,ID,Longitude,Latitude
50,Veneto,Asl Asolo,Asl,Via Forestuzzo 41,31011,Asolo,Italy,AAT125,11.9125861,45.7969731
190,Sicilia,Asp Agrigento,Asp,Via Manzoni  140,92100,Agrigento,Italy,PDN298,13.5999973,37.3026713
190,Sicilia,Asp Caltanissetta,Asp,Via Cusmano 10,93100,Caltanissetta,Italy,WCT538,14.023059,37.4893411
190,Sicilia,Asp Catania,Asp,Via S. Maria La Grande 5,95124,Catania,Italy,RQJ914,15.0838452,37.5081525
190,Sicilia,Asp Di Trapani,Asp,Via Mazzini 1,91100,Trapani,Italy,LTD802,12.51065,38.01566
190,Sicilia,Asp Enna,Asp,Viale Diaz 23,94100,Enna,Italy,YIQ387,14.3939449,37.7467712
190,Sicilia,Asp Messina,Asp,Via Del Vespro  289,98100,Messina,Italy,MCT570,15.5496802,38.1744582
190,Sicilia,Asp Paleasl Roma Rmo,Asp,Via G. Cusmano 24,90100,Palermo,Italy,FVF551,13.358434,38.125725
190,Sicilia,Asp Ragusa,Asp,P.Zza Igea 1,97100,Ragusa,Italy,UKO687,14.7251267,36.9143581
190,Sicilia,Asp Ragusa,Asp,P.Zza Igea 1 1,97100,Ragusa,Italy,AJX813,14.7251267,36.9143581
190,Sicilia,Asp Siracusa,Asp,C.So Gelone 17,96100,Siracusa,Italy,NMO294,15.2954473,37.0622362
60,Friuli Venezia Giulia,Asu Friuli Centrale,Asu,Via Pozzuolo 330,33100,Udine,Italy,TQN503,13.2229911,46.0356028
60,Friuli Venezia Giulia,Asu Giuliano Isontina,Asu,Via Costantinides  2,34128,Trieste,Italy,MCN644,13.8030764,45.6235119
60,Friuli Venezia Giulia,Asui Di Trieste,Asui,Via Giovanni Sai 1-3,34128,Trieste,Italy,ILG881,13.8017209,45.6572202
60,Friuli Venezia Giulia,Asui Di Udine,Asui,Via Pozzuolo 330,33100,Udine,Italy,XOD580,13.2229911,46.0356028
110,Marche,Asur Marche,Asur,Via Caduti Del Lavoro 40,60131,Ancona,Italy,XOR129,13.5109733,43.6172867
110,Marche,Asur Marche,Asur,Via G. Oberdan 2,60122,Ancona,Italy,JTS637,13.5109733,43.6172867
30,Lombardia,Ats Dell'Insubria,Ats,Via O. Rossi 9,21100,Varese,Italy,OQU741,8.847273999999999,45.79934129999999
30,Lombardia,Ats Della Brianza,Ats,Viale Elvezia 2,20900,Monza,Italy,QZR500,9.2535018,45.5920985
30,Lombardia,Ats Della Citta' Metropolitana Di Milano,Ats,Corso Italia 19,20122,Milano,Italy,UEF985,9.1868847,45.45476790000001
30,Lombardia,Ats Della Montagna,Ats,Via N. Sauro 38,23100,Sondrio,Italy,BJP534,9.874351899999999,46.1681693
30,Lombardia,Ats Della Val Padana,Ats,Via Dei Toscani 1,46100,Mantova,Italy,MPG442,10.7899046,45.1638731
30,Lombardia,Ats Di Bergamo,Ats,Via Gallicciolli 4,24121,Bergamo,Italy,DJX394,9.6726435,45.6944724
30,Lombardia,Ats Di Brescia,Ats,Viale Duca Degli Abruzzi 15,25122,Brescia,Italy,VOF717,,
30,Lombardia,Ats Di Pavia,Ats,Viale Indipendenza 1,27100,Pavia,Italy,HVM398,9.1554345,45.1935065
100,Umbria,Ausl Umbria N.1,Ausl,Via G. Guerra  21/17,6127,Perugia,Italy,RJH842,12.3655462,43.1050888
